,funding_year,state_code,state_match_states,full_cost_build_states,district_id,name,total_unscalable_campuses,c1_discount_rate
0,2019,CA,True,False,881452,Cuyama Joint Unified School District,0.16,0.90000000000000000000
1,2019,AZ,True,True,881455,Salome School District 30,1,0.90000000000000000000
2,2019,CA,True,False,881461,Twin Ridges Elem School District,1,0.90000000000000000000
3,2019,AR,False,False,881462,Sheridan Public School District,0.16,0.70000000000000000000
4,2019,AZ,True,True,881468,Colorado City Unified School District 14,0.16,0.90000000000000000000
5,2019,CA,True,False,881521,Mountain Valley Unified School District,0.08,0.90000000000000000000
6,2019,AR,False,False,881532,Star City Public School District,0.02153846153846153846,0.80000000000000000000
7,2019,AR,False,False,881651,Palestine-Wheatley School District,1.00000000000000000000,0.90000000000000000000
8,2019,AR,False,False,881716,Cleveland County School District,0.16,0.80000000000000000000
9,2019,AR,False,False,881728,Emerson-Taylor-Bradley School District,0.16,0.80000000000000000000
10,2019,AR,False,False,881838,Cossatot River School District,1,0.90000000000000000000
11,2019,AR,False,False,881916,Barton-Lexa School District,1.00000000000000000000,0.90000000000000000000
12,2019,CO,True,False,881924,Plateau Valley School District 50,1,0.60000000000000000000
13,2019,AR,False,False,881955,Berryville Public School District,0.16,0.80000000000000000000
14,2019,AR,False,False,881977,Booneville Public School District,0.16,0.90000000000000000000
15,2019,CO,True,False,882025,Durango School District 9-R,2,0.60000000000000000000
16,2019,CO,True,False,882066,Elizabeth School District C 1,3,0.60000000000000000000
17,2019,AR,False,False,882079,Clinton Public School District 1,0.24,0.80000000000000000000
18,2019,CO,True,False,882113,Florence School District 2,1,0.80000000000000000000
19,2019,AL,False,False,882164,Opp City School District,0.24,0.80000000000000000000
20,2019,CO,True,False,882165,East Grand School District 2,1,0.60000000000000000000
21,2019,AR,False,False,882167,Earle School District,0.16,0.90000000000000000000
22,2019,AR,False,False,882177,El Dorado School District,0.56,0.90000000000000000000
23,2019,AR,False,False,882202,Farmington School District,0.32,0.60000000000000000000
24,2019,CO,True,False,882219,Hayden School District R E 1,1,0.70000000000000000000
25,2019,CO,True,False,882224,Hinsdale County School District Re 1,1,0.70
26,2019,AR,False,False,882265,Gravette Public School District,0.16,0.70000000000000000000
