funding_year,state_code,district_id,num_students,best_deal,projected_bw_fy2018,ia_monthly_cost_total,ia_bw_mbps_total,c1_discount_rate,goal_cost,add_cost_per_stud_post_discount
2019,AZ,881451,453,False,453.0,572.8,200.0,0.8,1000.0,0.18860927152317877
2019,AZ,881455,128,False,128.0,2253.84,80.0,,,
2019,AZ,881468,536,False,536.0,3650.0,500.0,,,
2019,AZ,881477,1131,False,1131.0,21750.0,1000.0,,,
2019,CA,881577,29890,False,20923.0,1608.55,10000.0,0.5,5230.75,0.06059217129474741
2019,CA,881656,1633,False,1633.0,928.82,1000.0,0.9,2000.0,0.06559583588487444
2019,CO,881752,1568,False,1568.0,2500.0,250.0,,,
2019,CO,881924,305,False,305.0,800.0,100.0,0.6,1000.0,0.26229508196721313
2019,CO,882017,273,False,273.0,1800.0,100.0,,,
2019,CO,882025,4720,False,4012.0,1250.0,1000.0,0.6,2500.0,0.1059322033898305
2019,CO,882080,1117,False,1117.0,1050.0,500.0,0.7,2000.0,0.2551477170993734
2019,CO,882095,517,False,517.0,1964.06,10.5,,,
2019,CO,882113,1318,False,1318.0,1908.99,1300.0,0.8,2000.0,0.013810318664643394
2019,CO,882138,267,False,267.0,749.0,100.0,0.9,1000.0,0.0940074906367041
2019,AZ,882218,6798,False,5778.3,7566.65,5000.0,,,
2019,CO,882228,116,False,116.0,750.0,100.0,0.7,1000.0,0.6465517241379312
2019,CO,882239,581,False,581.0,1290.0,200.0,,,
2019,CO,882251,869,False,869.0,900.0,300.0,0.8,1000.0,0.02301495972382048
2019,CO,882262,3426,False,3426.0,2165.0,1000.0,0.6,2500.0,0.03911266783420899
2019,CO,882274,46,False,46.0,130.0,20.0,0.7,1000.0,5.6739130434782625
2019,CO,882311,921,False,921.0,400.0,100.0,0.8,1000.0,0.1302931596091205
2019,CO,882453,1066,False,1066.0,534.9,1000.0,0.8,2000.0,0.2748780487804877
2019,CO,882501,160,False,160.0,1160.0,50.0,,,
2019,CO,882504,580,False,580.0,782.0,200.0,0.6,1000.0,0.1503448275862069
2019,CO,882515,15802,False,11061.4,3000.0,2000.0,,,
2019,AK,882538,2013,False,1711.05,609351.0,320.0,,,
2019,CO,882545,1168,False,1168.0,2048.0,1000.0,,,
2019,CA,882547,78,False,78.0,2600.0,50.0,,,
2019,AK,882576,239,False,239.0,53280.0,40.0,,,
2019,CO,882585,306,False,306.0,415.0,100.0,0.7,1000.0,0.573529411764706
2019,AK,882587,1970,False,1674.5,541198.0,306.0,,,
2019,CO,882603,195,False,195.0,651.0,20.0,0.6,1000.0,0.7158974358974358
2019,AK,882604,327,False,327.0,12990.0,150.0,,,
2019,AK,882608,372,False,372.0,689.85,100.0,0.7,1000.0,0.2501209677419355
2019,AK,882613,284,False,284.0,7248.0,120.0,,,
2019,AK,882637,2297,False,1952.45,4509.22,1500.0,,,
2019,AK,882642,46874,False,18749.6,18850.0,6000.0,,,
2019,AK,882648,4818,False,4095.3,3750.0,1000.0,,,
2019,AK,882653,1254,False,1254.0,2400.0,300.0,,,
2019,AK,882663,111,False,111.0,2000.0,25.0,,,
2019,AK,882674,96,False,96.0,14500.0,50.0,,,
2019,AK,882680,9013,False,6309.1,5038.0,1000.0,,,
2019,CO,882687,198,False,198.0,2509.0,30.0,,,
2019,AK,882695,349,False,296.65,86813.4,120.0,,,
2019,AK,882700,18809,False,13166.3,26132.4,2000.0,,,
2019,CO,882702,2480,False,2480.0,4830.0,700.0,,,
2019,CA,882738,2035,False,2035.0,1166.67,1000.0,0.8,2500.0,0.1310398034398034
2019,AZ,882739,153,False,153.0,338.03,100.0,0.9,1000.0,0.43266013071895415
2019,AK,882760,66,False,66.0,11600.0,10.0,,,
2019,AK,882771,132,False,132.0,3595.0,50.0,,,
2019,AK,882787,387,False,387.0,20394.7,20.0,,,
2019,AK,882794,395,False,335.75,349200.0,90.0,,,
2019,AZ,882803,61,False,61.0,2780.0,25.0,,,
2019,AZ,882915,3727,False,3167.95,1243.37,1000.0,0.8,2500.0,0.06743386101422054
2019,CA,882930,2464,False,2464.0,925.0,1000.0,0.6,2500.0,0.2556818181818182
2019,CA,883014,374,False,374.0,119.28,350.0,0.9,1000.0,0.23548663101604275
2019,AZ,883048,399,False,399.0,859.2,300.0,0.7,1000.0,0.10586466165413533
2019,AZ,883049,2445,False,2445.0,1319.0,500.0,0.9,2500.0,0.04830265848670756
2019,CA,883050,192,False,192.0,7.77,100.0,0.7,1000.0,1.5503593750000002
2019,AZ,883053,127,False,127.0,900.0,100.0,0.9,1000.0,0.07874015748031495
2019,AZ,883059,107,False,107.0,800.0,50.0,0.7,1000.0,0.5607476635514019
2019,AZ,883065,4885,False,4152.25,2200.0,1000.0,0.8,2500.0,0.012282497441146364
2019,AZ,883074,132,False,132.0,286.4,100.0,0.9,1000.0,0.5406060606060605
2019,CA,883077,4535,False,3854.75,1098.86,1000.0,0.8,2500.0,0.06179228224917309
2019,AZ,883084,125,False,125.0,1511.75,50.0,,,
2019,CA,883104,1051,False,1051.0,81.28,1000.0,0.8,2000.0,0.36512274024738334
2019,AZ,883120,24687,False,17280.9,3901.0,8000.0,0.8,4320.225,0.003396321950824323
2019,AZ,883125,870,False,870.0,2007.52,100.0,,,
2019,CA,883126,42490,False,29743.0,4353.5,10000.0,0.6,7435.75,0.029016239115085905
2019,AZ,883144,605,False,605.0,2870.51,200.0,,,
2019,AZ,883159,285,False,285.0,6590.0,210.5,,,
2019,CA,883169,5726,False,4867.1,771.75,1000.0,0.6,2500.0,0.12073000349283969
2019,AZ,883183,1693,False,1693.0,19750.0,500.0,,,
2019,AZ,883190,5466,False,4646.1,2193.0,1000.0,0.8,2500.0,0.011233077204537137
2019,AZ,883198,368,False,368.0,39.95,100.0,0.9,1000.0,0.26088315217391295
2019,AZ,883206,607,False,607.0,8000.0,500.0,,,
2019,AZ,883216,130,False,130.0,3700.0,100.0,,,
2019,CA,883225,6712,False,5705.2,1200.0,1000.0,0.6,2500.0,0.07747318235995232
2019,AZ,883242,839,False,839.0,2334.91,300.0,,,
2019,CA,883249,402,False,341.7,553.52,50.0,0.8,1000.0,0.2221293532338308
2019,AZ,883262,1956,False,1662.6,2000.0,1000.0,,,
2019,AZ,883269,196,False,196.0,6290.0,100.0,,,
2019,AZ,883274,36406,False,25484.2,4325.0,10000.0,0.6,6371.05,0.02248036038015712
2019,AZ,883278,26977,False,22930.45,8100.0,20000.0,,,
2019,CA,883297,3379,False,2872.15,475.0,300.0,0.4,2500.0,0.35957383841373186
2019,AZ,883316,1297,False,1297.0,11100.0,500.0,,,
2019,AZ,883321,556,False,556.0,13027.71,250.0,,,
2019,CA,883328,20130,False,14091.0,500.78,10000.0,0.6,3522.75,0.06004908097367115
2019,AZ,883333,3392,False,3392.0,3990.0,1000.0,,,
2019,AZ,883358,848,False,848.0,11200.0,500.0,,,
2019,CA,883372,2171,False,2171.0,54.01,1000.0,0.8,2500.0,0.2253330262551819
2019,AZ,883382,1016,False,1016.0,900.0,300.0,0.9,2000.0,0.10826771653543305
2019,AZ,883388,1744,False,1482.4,12350.0,300.0,,,
2019,AZ,883396,104,False,104.0,1500.0,50.0,,,
2019,AZ,883407,2266,False,2266.0,47482.0,2000.0,,,
2019,AZ,883419,1860,False,1860.0,15000.0,1000.0,,,
2019,CA,883445,111,False,111.0,1636.61,100.0,,,
2019,CA,883479,1010,False,1010.0,870.0,300.0,0.5,2000.0,0.5594059405940595
2019,CA,883498,202,False,202.0,968.59,100.0,0.7,1000.0,0.04664851485148511
2019,CA,883538,206,False,206.0,818.44,200.0,0.8,1000.0,0.1762718446601941
2019,CA,883550,5131,False,4361.35,9141.45,2000.0,,,
2019,CA,883561,104,False,104.0,1195.08,100.0,,,
2019,CA,883564,973,False,827.05,2551.04,200.0,,,
2019,CA,883581,3934,False,3343.9,495.17,1000.0,0.8,2500.0,0.10192323335027959
2019,CA,883586,5038,False,4282.3,1300.0,3000.0,0.6,2500.0,0.09527590313616514
2019,CA,883603,62,False,62.0,513.91,20.0,0.9,1000.0,0.7840161290322579
2019,CA,883612,4452,False,3784.2,1104.88,1000.0,0.8,2500.0,0.06267385444743934
2019,CA,883615,1788,False,1788.0,948.13,1000.0,0.9,2000.0,0.058829418344519
2019,CA,883634,146,False,146.0,1440.9,100.0,,,
2019,CA,883653,1704,False,1448.4,909.94,200.0,0.8,2000.0,0.12794131455399058
2019,CA,883769,399,False,399.0,1500.0,100.0,,,
2019,CA,883788,10474,False,10474.0,2500.0,10000.0,0.8,2618.5,0.002262745846858888
2019,CA,883795,303,False,303.0,384.38,250.0,0.8,1000.0,0.40634983498349825
2019,CA,883803,1290,False,1290.0,1000.0,1000.0,0.8,2000.0,0.15503875968992242
2019,CA,883828,310,False,310.0,25002.67,100.0,,,
2019,CA,883837,1526,False,1526.0,948.13,1000.0,0.4,2000.0,0.4135792922673656
2019,CA,883854,41915,False,29340.5,1625.5,10000.0,0.8,7335.125,0.02724382679231778
2019,CA,883856,2284,False,1941.4,56.82,1000.0,0.9,2000.0,0.08507793345008755
2019,CA,883874,157,False,157.0,1231.45,100.0,,,
2019,CA,883917,6727,False,5717.95,875.0,2000.0,0.6,2500.0,0.09662553887319757
2019,CA,883938,4921,False,4182.85,1592.31,1000.0,0.8,2500.0,0.036890469416785206
2019,CA,883939,1311,False,1311.0,1500.0,1000.0,0.7,2000.0,0.11441647597254007
2019,CA,883947,3012,False,2560.2,971.28,1000.0,0.4,2500.0,0.30452589641434263
2019,CA,883958,241,False,241.0,3206.0,200.0,,,
2019,CA,883964,101,False,101.0,1061.38,30.0,,,
2019,CA,883985,40570,False,28399.0,16475.0,20050.0,,,
2019,CA,884050,1332,False,1332.0,963.51,1000.0,0.7,2000.0,0.23344369369369375
2019,FL,888974,26971,False,18879.7,3000.0,1500.0,0.9,4719.925,0.00637694190055986
2019,FL,888975,5004,False,4253.4,2088.88,1500.0,0.9,2500.0,0.008215827338129493
2019,FL,888982,14912,False,10438.4,5131.99,10000.0,,,
2019,FL,888984,36571,False,25599.7,13908.56,11000.0,,,
2019,FL,888988,4812,False,4090.2,3300.0,2000.0,,,
2019,FL,888989,2144,False,2144.0,2589.0,2000.0,,,
2019,FL,888993,11924,False,10135.4,2755.0,2500.0,,,
2019,FL,888994,957,False,957.0,1323.91,500.0,,,
2019,FL,888995,5021,False,4267.85,5200.0,1000.0,,,
2019,FL,888999,2628,False,2628.0,3556.0,2000.0,,,
2019,FL,889006,15552,False,10886.4,1661.8,1000.0,0.8,2721.6,0.013629115226337446
2019,FL,889007,6532,False,4572.4,3650.0,1000.0,,,
2019,FL,889009,1262,False,1262.0,2476.0,1000.0,,,
2019,FL,889018,40844,False,28590.8,7700.0,10000.0,,,
2019,FL,889023,28907,False,20234.9,3225.0,6000.0,0.6,5058.725,0.02537413083336217
2019,FL,889025,6322,False,5373.7,3320.0,2000.0,,,
2019,FL,889043,2317,False,2317.0,2560.0,1000.0,,,
2019,FL,889045,4752,False,4039.2,1000.0,1000.0,0.8,2500.0,0.06313131313131312
2019,IA,894144,728,False,728.0,2024.95,350.0,,,
2019,IA,894145,624,False,624.0,200.0,100.0,0.7,1000.0,0.38461538461538464
2019,IA,894150,286,False,286.0,360.0,100.0,0.7,1000.0,0.6713286713286715
2019,IA,894159,1173,False,1173.0,1790.0,1000.0,0.7,2000.0,0.05370843989769822
2019,IA,894160,635,False,635.0,387.0,150.0,0.6,1000.0,0.3861417322834646
2019,IA,894161,1464,False,1464.0,350.0,400.0,0.7,2000.0,0.33811475409836067
2019,IA,894165,4518,False,3840.3,1590.0,1500.0,0.5,2500.0,0.10070827799911465
